"FullName","Length","LastWriteTime"
"E:\Projekt\EduFlex\backups\monthly\eduflex-latest.sql.gz","0","2026-02-14 01:00:20"
"E:\Projekt\EduFlex\backups\weekly\eduflex-latest.sql.gz","0","2026-02-14 01:00:19"
"E:\Projekt\EduFlex\backups\daily\eduflex-latest.sql.gz","0","2026-02-14 01:00:19"
"E:\Projekt\EduFlex\backups\last\eduflex-latest.sql.gz","0","2026-02-14 01:00:19"
"E:\Projekt\EduFlex\backups\weekly\eduflex-202607.sql.gz","3338423","2026-02-14 01:00:19"
"E:\Projekt\EduFlex\backups\last\eduflex-20260214-000000.sql.gz","3338423","2026-02-14 01:00:19"
"E:\Projekt\EduFlex\backups\monthly\eduflex-202602.sql.gz","3338423","2026-02-14 01:00:19"
"E:\Projekt\EduFlex\backups\daily\eduflex-20260214.sql.gz","3338423","2026-02-14 01:00:19"
"E:\Projekt\EduFlex\backups\daily\eduflex-20260213.sql.gz","2146850","2026-02-13 01:00:06"
"E:\Projekt\EduFlex\backups\daily\eduflex-20260212.sql.gz","2127481","2026-02-12 13:00:15"
"E:\Projekt\EduFlex\backups\daily\eduflex-20260211.sql.gz","2062145","2026-02-11 13:00:11"
"E:\Projekt\EduFlex\backups\daily\eduflex-20260210.sql.gz","1988604","2026-02-10 13:00:02"
"E:\Projekt\EduFlex\backups\daily\eduflex-20260209.sql.gz","1537719","2026-02-09 13:00:01"
"E:\Projekt\EduFlex\backups\weekly\eduflex-202606.sql.gz","1465797","2026-02-05 01:00:01"
"E:\Projekt\EduFlex\backups\weekly\eduflex-202605.sql.gz","1431033","2026-02-01 01:00:01"
"E:\Projekt\EduFlex\backups\monthly\eduflex-202601.sql.gz","1398604","2026-01-31 01:00:02"
"E:\Projekt\EduFlex\backups\weekly\eduflex-202604.sql.gz","257164","2026-01-24 01:00:01"
"E:\Projekt\EduFlex\backups\weekly\eduflex-202603.sql.gz","178936","2026-01-18 01:00:00"
